desde,hasta
San Pablo,Neptuno
Neptuno,Pajaritos
Pajaritos,Las Rejas
Las Rejas,Ecuador
Ecuador,San Alberto Hurtado
San Alberto Hurtado,U de Santiago
U de Santiago,Estacion Central
Estacion Central,Union Latinoamericana
Union Latinoamericana,Republica
Republica,Los Heroes
Los Heroes,La Moneda
La Moneda,U de Chile
U de Chile,Santa Lucia
Santa Lucia,U Catolica
U Catolica,Baquedano
Baquedano,Salvador
Salvador,Manuel Montt
Manuel Montt,Pedro de Valdivia
Pedro de Valdivia,Los Leones
Los Leones,Tobalaba
Tobalaba,El Golf
El Golf,Alcantara
Alcantara,Escuela Militar
Escuela Militar,Hernando de Magallanes
Hernando de Magallanes,Los Dominicos
Vespucio Norte,Zapadores
Zapadores,Dorsal
Dorsal,Einstein
Einstein,Cementerios
Cementerios,Cerro Blanco
Cerro Blanco,Patronato
Patronato,Puente Cal y Canto
Puente Cal y Canto,Santa Ana
Santa Ana,Los Heroes
Los Heroes,Toesca
Toesca,Parque O'Higgins
Parque O'Higgins,Rondizzoni
Rondizzoni,Franklin
Franklin,El Llano
El Llano,San Miguel
San Miguel,Lo Vial
Lo Vial,Departamental
Departamental,Ciudad del Nino
Ciudad del Nino,Lo Ovalle
Lo Ovalle,El Parron
El Parron,La Cisterna
La Cisterna,El Bosque
El Bosque,Observatorio
Observatorio,Copa Lo Martinez
Copa Lo Martinez,Hospital El Pino
Tobalaba,Cristobal Colon
Cristobal Colon,Francisco Bilbao
Francisco Bilbao,Principe de Gales
Principe de Gales,Simon Bolivar
Simon Bolivar,Plaza Egana
Plaza Egana,Los Orientales
Los Orientales,Grecia
Grecia,Los Presidentes
Los Presidentes,Quilin
Quilin,Las Torres
Las Torres,Macul
Macul,Vicuna Mackenna
Vicuna Mackenna,Vicente Valdes
Vicente Valdes,Rojas Magallanes
Rojas Magallanes,Trinidad
Trinidad,San Jose de la Estrella
San Jose de la Estrella,Los Quillayes
Los Quillayes,Elisa Correa
Elisa Correa,Hospital Sotero del Rio
Hospital Sotero del Rio,Protectora de la Infancia
Protectora de la Infancia,Las Mercedes
Las Mercedes,Plaza de Puente Alto
Plaza de Maipu,Santiago Bueras
Santiago Bueras,Del Sol
Del Sol,Monte Tabor
Monte Tabor,Las Parcelas
Las Parcelas,Laguna Sur
Laguna Sur,Barrancas
Barrancas,Pudahuel
Pudahuel,San Pablo
San Pablo,Lo Prado
Lo Prado,Blanqueado
Blanqueado,Gruta de Lourdes
Gruta de Lourdes,Quinta Normal
Quinta Normal,Cumming
Cumming,Santa Ana
Santa Ana,Plaza de Armas
Plaza de Armas,Bellas Artes
Bellas Artes,Baquedano
Baquedano,Parque Bustamante
Parque Bustamante,Santa Isabel
Santa Isabel,Irarrazaval
Irarrazaval,Nuble
Nuble,Rodrigo de Araya
Rodrigo de Araya,Carlos Valdovinos
Carlos Valdovinos,Camino Agricola
Camino Agricola,San Joaquin
San Joaquin,Pedrero
Pedrero,Mirador
Mirador,Bellavista de La Florida
Bellavista de La Florida,Vicente Valdes
